jobid,name,alpha,beta,M1,M2,P,Z,status,date,computation_time,TimeSteps,age,M1f,M2f,Pf,lg_mdot_M1,lg_mdot_M2,lg_mdot_thermal_tau100,lg_mdot_thermal_tau1000,lg_mdot_dynamical_tau100,lg_mdot_dynamical_tau1000,err_msg,stop_criteria,primary_flag
1392691,BG00001217,0.0,0.0,4.44493450371,13.247554137,15.3827292417,0.00251848270705,completed,20160606,6.794074444444444,44912.0,19.783673726685695,4.447908738095398,9.673253086621711,6.016965346351926,-7.823106824144627,-4.080130483788206,-4.556910357089295,-4.5547053985370125,-4.556910357089295,-4.5547053985370125,none,4,3
1392692,BG00001218,0.0,0.0,14.6665738299,9.77322201894,676.217761866,0.00254646304369,completed,20160606,2.4779802777777777,15034.0,32.58148059963964,14.667167706574977,7.044529652547703,1247.7494765414503,-7.323869989172501,-5.445568387018487,-1.0648487872128252,-1.1489243852578184,-1.0648487872128252,-1.1489243852578184,none,5,5
1392693,BG00001219,0.0,0.0,46.1448267681,13.9234215167,0.186559609444,0.00818444724728,completed,20160606,0.0008311111111111111,1.0,0.0001382404287691474,46.1448267681,13.9234215167,0.1865596094439992,-98.99999999999999,-98.99999999999999,-3.619012929623975,-3.6189492919065795,-3.619012929623975,-3.6189492919065795,none,1,1
1392694,BG00001220,0.0,0.0,7.74975640804,21.9511008931,3.63812930569,0.00663054452018,completed,20160606,7.239278055555555,99999.0,9.882672955211435,7.763424499778293,15.364624604840454,2.332968796296886,-42.18684499565999,-5.037190393730874,-6.357299733816799,-6.365304577071342,-6.357299733816799,-6.365304577071342,none,3,4
1392695,BG00001221,0.0,0.0,2.52253821253,12.4427064067,441.868959469,0.000254713596302,completed,20160606,0.11252027777777779,864.0,20.61092615777968,2.5225454339681703,11.556628909209012,218.04566660309862,-8.18732312342561,-3.0077870844668313,-2.8855294032471592,-2.8900925931317185,-2.8855294032471592,-2.8900925931317185,none,4,3
1392696,BG00001222,0.0,0.0,9.99567074384,24.964228949,13.0440617769,0.00013482101716,completed,20160606,0.949755,5372.0,8.63159421221001,10.010853560036042,20.03436877283376,7.908291735057753,-7.494288071738464,-3.8746046465801895,-4.398477838285278,-4.3990863201152175,-4.398477838285278,-4.3990863201152175,none,4,3
1392697,BG00001223,0.0,0.0,2.65476749375,25.039573156,11.8775200594,0.00473814362471,completed,20160606,0.20008944444444446,1484.0,7.879627769399519,2.65497763445316,22.697763548275223,1.6423150141732032,-8.164300213953563,0.7810689613924922,-2.73104314786599,-2.629621892132146,-2.73104314786599,-2.629621892132146,none,-3,2
1392698,BG00001224,0.0,0.0,9.88723248482,26.3750741655,9.60509175617,0.00194659314617,completed,20160606,11.340408611111112,99999.0,8.026948591782647,9.900808330053563,20.984714078256232,5.804584291747098,-98.99999999999999,-5.225072837302465,-5.326480663126788,-5.322706879383951,-5.326480663126788,-5.322706879383951,none,3,4
1392699,BG00001225,0.0,0.0,28.1730439254,3.90842644666,1.14824026547,0.000133853787457,completed,20160606,3.5185933333333335,15132.0,189.91061525503522,28.9739527068808,2.208572577385134,5.5878507995312034,-6.893117135999208,-3.4132930405262285,-3.840533896073091,-3.8387645724958532,-3.840533896073091,-3.8387645724958532,none,-2,2
1392700,BG00001226,0.0,0.0,13.5080303636,23.2296252586,23.3983931474,0.00335430298794,completed,20160606,0.48988472222222224,2467.0,9.081334334736521,13.51612338370585,19.043379415373185,22.941554156531797,-7.439174804676087,-3.963051397253233,-4.222097932766142,-4.224970458350123,-4.222097932766142,-4.224970458350123,none,4,3
